file_id,data_path,src_data_path,data_set,parent_dir,start,stop
D_F02S04_0,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F02S04_0.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F02S04.SRC,Supp-23,D,16000.0,60800.0
D_F02S04_1,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F02S04_1.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F02S04.SRC,Supp-23,D,16000.0,63488.0
D_M01S07_0,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M01S07_0.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M01S07.SRC,Supp-23,D,16000.0,61728.0
D_M01S07_1,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M01S07_1.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M01S07.SRC,Supp-23,D,16000.0,58176.0
D_F02S02_0,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F02S02_0.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F02S02.SRC,Supp-23,D,16000.0,47968.0
D_F02S02_1,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F02S02_1.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F02S02.SRC,Supp-23,D,16000.0,57504.0
D_M01S05_0,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M01S05_0.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M01S05.SRC,Supp-23,D,16000.0,53696.0
D_M01S05_1,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M01S05_1.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M01S05.SRC,Supp-23,D,16000.0,53952.0
D_M02S07_0,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M02S07_0.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M02S07.SRC,Supp-23,D,16000.0,71808.0
D_M02S07_1,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M02S07_1.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_M02S07.SRC,Supp-23,D,16000.0,47264.0
D_F01S01_0,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F01S01_0.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F01S01.SRC,Supp-23,D,16000.0,53664.0
D_F01S01_1,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F01S01_1.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F01S01.SRC,Supp-23,D,16000.0,34144.0
D_F01S01_2,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F01S01_2.wav,/home/richard/sambashare/media/ITU-T_test/P_Suppl_23_DB/Disk2/EXP2/ORIGINAL/D/D_F01S01.SRC,Supp-23,D,16000.0,36768.0
